name,location,body_type,year,kilometers_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,new_price,price
2018 Maruti Wagon R 1.0 VXI AMT,Ghaziabad,Hatchback,2018,64157,Petrol,Automatic,1,22.0,1197.0,88.0,5.0,750000.0,422000.0
2019 Maruti New Wagon-R VXI 1.2,Faridabad,Other,2019,52608,Petrol,Manual,2,,,,,,504000.0
2019 Maruti Baleno ALPHA PETROL 1.2,Delhi,Hatchback,2019,24499,Petrol,Manual,1,22.3,1197.0,89.0,5.0,900000.0,698000.0
2019 Maruti Celerio ZXI,Gurugram,Hatchback,2019,69332,Petrol,Manual,1,25.0,998.0,66.0,5.0,700000.0,460000.0
2016 Maruti Baleno DELTA PETROL 1.2,Noida,Hatchback,2016,97531,Petrol,Manual,1,22.3,1197.0,89.0,5.0,900000.0,513000.0
2019 Maruti Baleno ZETA PETROL 1.2,Ghaziabad,Hatchback,2019,58448,Petrol,Manual,1,22.3,1197.0,89.0,5.0,900000.0,665000.0
2017 Maruti Alto K10 VXI (O) AMT,Faridabad,Hatchback,2017,67823,Petrol,Automatic,2,24.0,998.0,66.0,5.0,600000.0,345000.0
2015 Maruti Wagon R 1.0 VXI,Delhi,Hatchback,2015,34292,Petrol,Manual,2,22.0,1197.0,88.0,5.0,750000.0,349000.0
2019 Maruti Baleno ALPHA PETROL 1.2,Gurugram,Hatchback,2019,88651,Petrol,Manual,1,22.3,1197.0,89.0,5.0,900000.0,649000.0
2018 Maruti Celerio X ZXI AMT,Noida,Hatchback,2018,68971,Petrol,Automatic,2,25.0,998.0,66.0,5.0,700000.0,445000.0
2023 Maruti New Wagon-R ZXI 1.2,Ghaziabad,Other,2023,35595,Petrol,Manual,1,,,,,,608000.0
2017 Maruti IGNIS ZETA 1.2 AMT,Faridabad,Hatchback,2017,39347,Petrol,Automatic,1,20.9,1197.0,82.0,5.0,800000.0,538000.0
2017 Maruti Ciaz DELTA 1.4 MT PETROL,Delhi,Sedan,2017,105815,Petrol,Manual,2,20.0,1462.0,103.0,5.0,1100000.0,568000.0
2017 Maruti IGNIS ZETA 1.2,Gurugram,Hatchback,2017,63716,Petrol,Manual,1,20.9,1197.0,82.0,5.0,800000.0,484000.0
2019 Maruti Alto K10 VXI,Noida,Hatchback,2019,39091,Petrol,Manual,1,24.0,998.0,66.0,5.0,600000.0,369000.0
2016 Maruti Wagon R 1.0 VXI,Ghaziabad,Hatchback,2016,77225,Petrol,Manual,1,22.0,1197.0,88.0,5.0,750000.0,373000.0
2022 Maruti Ciaz ALPHA 1.5 SHVS PETROL,Faridabad,Sedan,2022,23327,Petrol,Manual,1,20.0,1462.0,103.0,5.0,1100000.0,996000.0
2022 Maruti New Wagon-R VXI 1.0,Delhi,Other,2022,44382,Petrol,Manual,2,,,,,,492000.0
2017 Maruti Wagon R 1.0 VXI,Gurugram,Hatchback,2017,66341,Petrol,Manual,1,22.0,1197.0,88.0,5.0,750000.0,408000.0
2018 Maruti Ciaz ZETA 1.4 AT PETROL,Noida,Sedan,2018,88132,Petrol,Automatic,1,20.0,1462.0,103.0,5.0,1100000.0,757000.0
2019 Maruti New Wagon-R VXI 1.0 AMT,Ghaziabad,Other,2019,95456,Petrol,Automatic,1,,,,,,465000.0
2021 Maruti S PRESSO VXI+,Faridabad,Other,2021,26875,Petrol,Manual,2,,,,,,439000.0
2020 Maruti New Wagon-R VXI 1.2 AMT,Delhi,Other,2020,50380,Petrol,Automatic,2,,,,,,549000.0
2023 Maruti Celerio ZXI AMT,Gurugram,Hatchback,2023,17447,Petrol,Automatic,1,25.0,998.0,66.0,5.0,700000.0,634000.0
2020 Maruti Alto LXI,Noida,Hatchback,2020,30292,Petrol,Manual,1,24.0,998.0,66.0,5.0,600000.0,358000.0
2017 Maruti Celerio ZXI AMT,Ghaziabad,Hatchback,2017,53241,Petrol,Automatic,1,25.0,998.0,66.0,5.0,700000.0,449000.0
2021 Maruti Celerio ZXI AMT,Faridabad,Hatchback,2021,24059,Petrol,Automatic,1,25.0,998.0,66.0,5.0,700000.0,600000.0
2020 Maruti S PRESSO LXI (O) CNG,Delhi,Other,2020,80265,CNG,Manual,1,,,,,,486000.0
2017 Maruti Celerio ZXI (O),Gurugram,Hatchback,2017,51182,Petrol,Manual,2,25.0,998.0,66.0,5.0,700000.0,414000.0
2022 Maruti New Wagon-R ZXI 1.2,Noida,Other,2022,22594,Petrol,Manual,1,,,,,,604000.0
2021 Maruti Alto VXI PLUS,Ghaziabad,Hatchback,2021,24463,Petrol,Manual,1,24.0,998.0,66.0,5.0,600000.0,392000.0
2021 Maruti Alto LXI O,Faridabad,Hatchback,2021,26792,Petrol,Manual,1,24.0,998.0,66.0,5.0,600000.0,380000.0
2016 Maruti Wagon R 1.0 VXI AMT,Delhi,Hatchback,2016,82834,Petrol,Automatic,1,22.0,1197.0,88.0,5.0,750000.0,372000.0
2021 Maruti S PRESSO VXI+,Gurugram,Other,2021,46355,Petrol,Manual,1,,,,,,436000.0
2013 Maruti Wagon R 1.0 LXI,Noida,Hatchback,2013,51088,Petrol,Manual,2,22.0,1197.0,88.0,5.0,750000.0,288000.0
2022 Maruti Baleno ALPHA PETROL 1.2,Ghaziabad,Hatchback,2022,49533,Petrol,Manual,1,22.3,1197.0,89.0,5.0,900000.0,826000.0
2019 Maruti Baleno ZETA PETROL 1.2,Faridabad,Hatchback,2019,36262,Petrol,Manual,1,22.3,1197.0,89.0,5.0,900000.0,677000.0
2014 Maruti Wagon R 1.0 VXI,Delhi,Hatchback,2014,69455,Petrol,Manual,1,22.0,1197.0,88.0,5.0,750000.0,331000.0
2020 Maruti New Wagon-R VXI 1.2,Gurugram,Other,2020,48833,Petrol,Manual,1,,,,,,515000.0
2020 Maruti New Wagon-R VXI (O) 1.2 AMT,Noida,Other,2020,26074,Petrol,Automatic,1,,,,,,568000.0
2019 Maruti Celerio ZXI AMT (O),Ghaziabad,Hatchback,2019,87744,Petrol,Automatic,1,25.0,998.0,66.0,5.0,700000.0,483000.0
2014 Maruti Celerio VXI AMT,Faridabad,Hatchback,2014,98335,Petrol,Automatic,1,25.0,998.0,66.0,5.0,700000.0,376000.0
2018 Maruti Wagon R 1.0 VXI,Delhi,Hatchback,2018,76210,Petrol,Manual,1,22.0,1197.0,88.0,5.0,750000.0,410000.0
2017 Maruti Celerio ZXI AMT,Gurugram,Hatchback,2017,77481,Petrol,Automatic,2,25.0,998.0,66.0,5.0,700000.0,414000.0
2014 Maruti Wagon R 1.0 VXI,Noida,Hatchback,2014,83098,Petrol,Manual,2,22.0,1197.0,88.0,5.0,750000.0,307000.0
2017 Maruti Celerio ZXI,Ghaziabad,Hatchback,2017,81204,Petrol,Manual,1,25.0,998.0,66.0,5.0,700000.0,413000.0
2015 Maruti Wagon R 1.0 VXI,Faridabad,Hatchback,2015,97385,Petrol,Manual,2,22.0,1197.0,88.0,5.0,750000.0,329000.0
2018 Maruti IGNIS DELTA 1.2 AMT,Delhi,Hatchback,2018,33509,Petrol,Automatic,1,20.9,1197.0,82.0,5.0,800000.0,517000.0
2019 Maruti New Wagon-R VXI 1.2,Gurugram,Other,2019,49347,Petrol,Manual,1,,,,,,511000.0
2022 Maruti New Wagon-R VXI 1.0 AMT,Noida,Other,2022,9301,Petrol,Automatic,1,,,,,,620000.0
2021 Maruti New Wagon-R VXI (O) 1.2 AMT,Ghaziabad,Other,2021,37541,Petrol,Automatic,1,,,,,,600000.0
2020 Maruti New Wagon-R ZXI 1.2,Faridabad,Other,2020,52823,Petrol,Manual,1,,,,,,540000.0
2022 Maruti S PRESSO VXI+,Delhi,Other,2022,35049,Petrol,Manual,1,,,,,,490000.0
2020 Maruti Ciaz DELTA 1.5 SHVS MT PETROL,Gurugram,Sedan,2020,61765,Petrol,Manual,2,20.0,1462.0,103.0,5.0,1100000.0,743000.0
2019 Maruti IGNIS DELTA 1.2,Noida,Hatchback,2019,72496,Petrol,Manual,2,20.9,1197.0,82.0,5.0,800000.0,458000.0
2014 Maruti Wagon R 1.0 VXI,Ghaziabad,Hatchback,2014,98723,Petrol,Manual,2,22.0,1197.0,88.0,5.0,750000.0,308000.0
2021 Maruti New Wagon-R VXI 1.0,Faridabad,Other,2021,40215,Petrol,Manual,1,,,,,,527000.0
2022 Maruti Alto LXI O,Delhi,Hatchback,2022,26385,Petrol,Manual,1,24.0,998.0,66.0,5.0,600000.0,402000.0
2018 Maruti Wagon R 1.0 VXI AMT,Gurugram,Hatchback,2018,99726,Petrol,Automatic,1,22.0,1197.0,88.0,5.0,750000.0,418000.0
2021 Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,Noida,Sedan,2021,57002,Petrol,Automatic,1,20.0,1462.0,103.0,5.0,1100000.0,961000.0
2017 Maruti Alto 800 LXI,Ghaziabad,Hatchback,2017,63989,Petrol,Manual,2,24.0,998.0,66.0,5.0,600000.0,278000.0
2016 Maruti Baleno DELTA PETROL 1.2,Faridabad,Hatchback,2016,93648,Petrol,Manual,3,22.3,1197.0,89.0,5.0,900000.0,547000.0
2014 Maruti Wagon R 1.0 VXI,Delhi,Hatchback,2014,76186,Petrol,Manual,1,22.0,1197.0,88.0,5.0,750000.0,338000.0
